name,address,lon,lat,id,tel,type
陶然亭公园(西二门),西城区,116.378235,39.874935,B000A9LFSN,010-63532385;010-63588801,风景名胜;公园广场;公园
南馆公园(南门),北新桥,116.42865,39.942753,B000A7IBIQ,,风景名胜;公园广场;公园
龙潭公园(西二门),龙潭路18号,116.43763,39.87812,B000A87OEG,,风景名胜;公园广场;公园
龙潭公园(北二门),龙潭路8号,116.441895,39.881336,B000A87OYQ,,风景名胜;公园广场;公园
景泰公园,南二环景泰桥西南角(近郭庄北里),116.40229,39.869209,B000A9LFKI,,风景名胜;公园广场;公园
景泰公园西门,永定门外大街与民主街交汇处,116.401222,39.869225,B000A9LES2,,风景名胜;公园广场;公园
万寿公园(东门),白纸坊东街甲29号,116.370605,39.880138,B000A7ISPY,010-63523578,风景名胜;公园广场;公园
景泰公园(东门),桃杨路,116.402626,39.86935,B000A9LEZB,,风景名胜;公园广场;公园
景泰公园东园(南一门),东城区,116.404961,39.869499,B000A9R4IN,,风景名胜;公园广场;公园
西便门小公园(北门),西城区,116.357063,39.901356,B000A84NQ1,,风景名胜;公园广场;公园
陶然亭公园,太平街19号,116.382034,39.874115,B000A4D500,010-63511596;010-63532385;010-63535704,风景名胜;公园广场;公园
后海公园(南门),西城区,116.382248,39.941711,B000A36509,,风景名胜;公园广场;公园
曦园春早,西城区,116.355759,39.910763,B000A8XAFA,,风景名胜;公园广场;公园
景泰公园东园,东城区,116.404961,39.869667,B000A9R5EO,,风景名胜;公园广场;公园
龙潭公园(北一门),龙潭路8号,116.440559,39.881332,B000A84IKF,,风景名胜;公园广场;公园
西便门小公园,西城区宣武门西大街131号,116.357796,39.900009,B000A84NQ3,,风景名胜;公园广场;公园
静雅园,宣武艺园内,116.359566,39.894882,B000A9LFG5,,风景名胜;公园广场;公园
玉蜓公园,东铁匠营,116.418571,39.872383,B000A7W49R,010-67692146,风景名胜;公园广场;公园
翠芳园,西便门桥南侧,116.358093,39.89854,B000A2C1D7,,风景名胜;公园广场;公园
翠芳园(北门),西城区,116.358948,39.898567,B000A85FXT,,风景名胜;公园广场;公园
宣武艺园(北一门),槐柏树街12,116.359535,39.896107,B000A84NQB,010-63012158,风景名胜;公园广场;公园
宣武艺园(北二门),槐柏树街12,116.360596,39.896107,B000A84NQC,010-63012158;010-83128122,风景名胜;公园广场;公园
人口文化园,永定门桥东南,116.400932,39.870628,B000A85H94,,风景名胜;公园广场;公园
玉蜓公园(西门),永定门东街,116.415115,39.872536,B000A8ULT3,,风景名胜;公园广场;公园
玉蜓公园(北门),东城区,116.420967,39.873222,B000A84P79,,风景名胜;公园广场;公园
龙潭西湖公园(西一门),东城区,116.42878,39.878036,B000A87SL0,,风景名胜;公园广场;公园
龙潭公园(北四门),东城区,116.436554,39.881203,B000A87OYR,,风景名胜;公园广场;公园
宣武艺园(东门),广安门内,116.361198,39.89465,B000A7YKP8,010-63012158,风景名胜;公园广场;公园
陶然亭公园西北门,南来顺对面,116.380798,39.878506,B000A9JT7Q,010-63532385,风景名胜;公园广场;公园
